"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"981",584171,"Velázquez, Hector","981","100.0","0.275","0.185","0.321","0.460","0.348","0.338","0.254","58","211","88.4","16.0","1916","88.1","88.62","106","448","532","0.5","6.46","112","149","117","148","284","321","293"
"980",608648,"Duffey, Tyler","980","100.0","0.201","0.137","0.277","0.338","0.254","0.258","0.197","44","219","89.4","14.9","2403","88.6","88.43","164","497","483","-0.2","6.16","109","152","115","145","298","325","295"
"978",592222,"Claudio, Alex","978","100.0","0.246","0.177","0.268","0.422","0.317","0.297","0.231","57","232","85.8","3.0","2094","79.6","77.56","109","456","522","-2.0","5.55","110","152","111","150","300","316","296"
"978",518489,"Brasier, Ryan","978","100.0","0.238","0.173","0.286","0.411","0.306","0.321","0.242","51","214","89.0","16.7","2318","91.8","92.52","160","516","462","0.7","6.55","109","151","117","149","287","323","294"
"978",607237,"Garrett, Amir","978","100.0","0.213","0.145","0.303","0.357","0.307","0.284","0.197","44","207","87.5","5.1","1936","89.8","89.80","166","432","546","0.0","6.38","115","152","117","146","292","315","289"
"975",595191,"Eickhoff, Jerad","975","100.0","0.261","0.302","0.261","0.563","0.364","0.348","0.249","58","222","89.0","16.4","2562","83.1","82.65","116","443","532","-0.4","6.02","112","152","117","150","301","325","295"
"975",517008,"Colomé, Alex","975","100.0","0.191","0.159","0.217","0.350","0.261","0.319","0.238","42","220","91.2","10.3","2142","91.6","91.14","141","486","489","-0.5","5.96","112","150","113","148","294","322","295"
"975",621295,"Wittgren, Nick","975","100.0","0.218","0.190","0.253","0.407","0.285","0.319","0.250","47","216","92.5","16.3","2184","89.7","89.58","106","456","519","-0.1","6.57","111","153","118","150","290","314","289"
"972",453192,"Miller, Andrew","972","100.0","0.225","0.175","0.283","0.400","0.320","0.308","0.208","45","200","87.7","16.9","2399","86.3","86.94","131","427","545","0.6","6.48","110","148","109","148","299","324","301"
"971",657024,"Swanson, Erik","971","100.0","0.243","0.274","0.241","0.517","0.328","0.336","0.254","56","230","91.4","16.4","2172","90.4","90.76","107","472","498","0.4","6.50","108","153","114","147","293","321","294"
"966",448179,"Hill, Rich","966","100.0","0.223","0.172","0.284","0.395","0.291","0.260","0.197","48","215","86.1","10.1","2665","82.7","82.00","119","463","503","-0.7","5.96","112","156","113","145","294","313","291"
"966",573185,"Straily, Dan","966","100.0","0.349","0.397","0.325","0.746","0.464","0.452","0.339","73","209","91.4","21.6","2255","86.9","86.47","80","438","528","-0.4","5.99","106","151","118","148","306","331","303"
"963",453329,"Buchholz, Clay","963","100.0","0.306","0.260","0.321","0.566","0.378","0.376","0.294","72","235","86.6","10.4","2155","83.0","82.81","93","456","507","-0.2","6.13","111","153","114","150","302","322","300"
"961",532077,"Osuna, Roberto","961","100.0","0.190","0.131","0.236","0.321","0.237","0.258","0.207","45","237","86.2","14.2","2374","92.1","90.94","174","519","442","-1.2","5.99","111","155","116","150","294","321","300"
"959",553878,"Vázquez, Felipe","959","100.0","0.197","0.119","0.306","0.317","0.247","0.261","0.202","43","218","87.2","14.1","2610","93.4","92.32","140","482","477","-1.1","5.61","110","149","118","147","310","328","298"
"959",572362,"Erlin, Robbie","959","100.0","0.312","0.126","0.375","0.437","0.336","0.326","0.273","72","231","87.9","9.8","2271","86.0","85.42","109","459","500","-0.6","5.94","111","150","116","147","303","326","306"
"958",676606,"Margevicius, Nick","958","100.0","0.307","0.239","0.332","0.546","0.379","0.359","0.289","73","238","88.5","10.3","2055","83.2","83.00","100","441","517","-0.2","6.05","113","153","113","149","306","328","305"
"949",572888,"Greene, Shane","949","100.0","0.200","0.135","0.239","0.335","0.257","0.302","0.229","46","230","89.5","13.5","2354","88.4","86.97","114","437","512","-1.4","5.32","110","151","114","149","303","331","298"
