"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3687",545333,"Bauer, Trevor","3687","100.0","0.230","0.199","0.290","0.429","0.316","0.311","0.224","184","800","88.4","16.4","2456","87.1","86.69","489","1669","2018","-0.4","6.00","111","153","115","148","291","311","289"
"3553",458681,"Lynn, Lance","3553","100.0","0.243","0.146","0.322","0.390","0.294","0.278","0.218","195","801","87.7","13.8","2436","91.9","88.89","497","1742","1811","-3.0","6.23","110","154","114","149","293","322","300"
"3495",593958,"Rodriguez, Eduardo","3495","100.0","0.253","0.138","0.318","0.391","0.307","0.282","0.212","195","770","86.1","8.9","2161","90.4","89.98","444","1623","1872","-0.4","5.92","107","150","115","149","288","322","288"
"3448",434378,"Verlander, Justin","3448","100.0","0.172","0.188","0.219","0.361","0.243","0.241","0.180","137","796","87.3","18.4","2599","89.6","85.88","602","1790","1658","-3.7","5.83","113","157","117","152","290","316","297"
"3384",544931,"Strasburg, Stephen","3384","100.0","0.210","0.139","0.276","0.349","0.265","0.266","0.210","161","768","87.8","7.7","2245","88.7","89.43","492","1613","1771","0.7","6.71","114","151","112","149","303","316","296"
"3362",543037,"Cole, Gerrit","3362","100.0","0.186","0.156","0.276","0.343","0.246","0.237","0.180","142","762","87.6","14.0","2559","92.4","91.94","624","1679","1683","-0.5","6.11","112","155","119","151","289","316","297"
"3358",501985,"Minor, Mike","3358","100.0","0.244","0.151","0.288","0.395","0.301","0.297","0.228","190","779","86.6","16.6","2563","88.4","87.44","421","1605","1753","-1.0","5.61","106","152","111","147","293","322","298"
"3332",605400,"Nola, Aaron","3332","100.0","0.233","0.160","0.297","0.393","0.304","0.310","0.235","176","755","88.9","9.0","2198","86.7","86.91","393","1485","1847","0.2","6.43","111","151","117","150","299","323","294"
"3332",669456,"Bieber, Shane","3332","100.0","0.230","0.163","0.298","0.393","0.280","0.290","0.231","186","810","90.6","12.5","2256","88.4","85.70","487","1592","1740","-2.7","6.27","111","152","115","150","290","312","290"
"3299",571578,"Corbin, Patrick","3299","100.0","0.227","0.149","0.295","0.375","0.285","0.303","0.227","169","746","89.8","8.4","2245","86.7","86.58","492","1563","1736","-0.1","6.20","109","150","113","147","304","316","295"
"3297",594798,"deGrom, Jacob","3297","100.0","0.207","0.117","0.285","0.323","0.250","0.236","0.189","154","745","86.5","13.4","2305","94.0","92.09","549","1762","1534","-1.9","6.82","113","150","112","146","296","315","294"
"3244",518516,"Bumgarner, Madison","3244","100.0","0.245","0.181","0.292","0.426","0.300","0.320","0.254","191","780","90.0","18.0","2435","87.3","87.12","404","1645","1599","-0.2","6.22","108","150","113","146","300","326","295"
"3232",594835,"Gonzales, Marco","3232","100.0","0.264","0.157","0.295","0.422","0.311","0.302","0.247","210","794","88.2","14.6","2246","84.3","83.92","277","1542","1690","-0.4","6.04","105","154","114","146","297","317","288"
"3179",656427,"Flaherty, Jack","3179","100.0","0.192","0.143","0.244","0.335","0.254","0.269","0.206","135","704","86.4","15.2","2261","89.3","90.00","469","1526","1653","0.7","6.54","113","152","112","149","297","321","299"
"3163",625643,"López, Reynaldo","3163","100.0","0.278","0.213","0.317","0.491","0.349","0.338","0.259","203","729","88.8","17.7","2051","90.3","90.01","380","1539","1623","-0.3","6.01","110","150","112","148","294","322","296"
"3159",554430,"Wheeler, Zack","3159","100.0","0.258","0.133","0.316","0.391","0.294","0.297","0.245","196","760","86.7","12.1","2288","93.1","93.91","369","1607","1552","0.8","6.66","112","150","112","145","295","314","293"
"3158",622491,"Castillo, Luis","3158","100.0","0.202","0.141","0.265","0.343","0.277","0.273","0.201","139","688","87.0","5.6","2112","91.6","87.49","531","1494","1663","-4.1","5.36","116","156","116","147","289","314","289"
"3139",450203,"Morton, Charlie","3139","100.0","0.215","0.126","0.299","0.340","0.270","0.274","0.216","154","717","86.8","9.2","2477","87.3","86.28","440","1488","1650","-1.0","5.80","108","156","115","148","293","323","298"
"3132",621244,"Berríos, José","3132","100.0","0.251","0.154","0.301","0.404","0.300","0.304","0.245","194","774","86.7","13.8","2136","87.8","87.84","358","1539","1593","0.0","6.33","108","153","114","147","297","323","296"
"3118",571510,"Boyd, Matthew","3118","100.0","0.247","0.218","0.310","0.465","0.320","0.291","0.218","178","721","88.7","19.6","2348","85.9","85.75","484","1554","1564","-0.2","6.07","107","150","115","147","299","329","291"
"3113",425844,"Greinke, Zack","3113","100.0","0.228","0.136","0.274","0.364","0.263","0.281","0.238","175","767","87.4","11.0","2245","85.3","84.63","350","1455","1658","-0.7","5.75","113","155","116","151","297","325","302"
"3095",592789,"Syndergaard, Noah","3095","100.0","0.256","0.154","0.315","0.410","0.301","0.280","0.230","194","758","86.5","9.6","2091","93.6","93.93","421","1573","1518","0.3","6.39","112","150","112","144","297","316","294"
"3091",645261,"Alcantara, Sandy","3091","100.0","0.241","0.156","0.274","0.397","0.308","0.321","0.243","179","743","87.1","11.6","2347","91.5","90.28","360","1534","1557","-1.2","5.62","108","155","117","148","300","323","297"
"3064",592662,"Ray, Robbie","3064","100.0","0.234","0.207","0.315","0.441","0.322","0.320","0.227","150","642","88.4","14.5","2181","88.1","87.64","453","1390","1674","-0.5","6.03","111","152","116","150","302","327","300"
"3047",573186,"Stroman, Marcus","3047","100.0","0.257","0.127","0.308","0.384","0.299","0.290","0.240","183","711","87.8","5.4","2543","89.6","88.63","336","1375","1671","-1.0","5.55","111","152","115","148","299","318","297"
"3043",452657,"Lester, Jon","3043","100.0","0.294","0.176","0.350","0.470","0.344","0.335","0.273","205","698","88.5","12.0","2305","86.3","86.28","293","1392","1651","0.0","6.11","107","150","109","149","296","320","294"
"3036",527054,"Teheran, Julio","3036","100.0","0.229","0.160","0.270","0.389","0.310","0.327","0.240","148","645","88.8","15.4","2372","86.6","86.33","305","1374","1662","-0.3","6.03","109","151","113","150","306","327","298"
"3006",502188,"Samardzija, Jeff","3006","100.0","0.225","0.186","0.242","0.411","0.289","0.326","0.253","152","677","89.3","16.8","2461","88.7","88.35","289","1453","1552","-0.4","6.05","111","153","115","149","297","327","300"
"3005",467100,"Nova, Iván","3005","100.0","0.303","0.180","0.323","0.483","0.351","0.342","0.286","225","743","88.5","10.9","2165","88.5","87.91","270","1468","1535","-0.6","5.83","110","150","112","149","294","322","295"
"2992",543699,"Roark, Tanner","2992","100.0","0.275","0.192","0.323","0.467","0.340","0.332","0.261","180","655","88.7","15.4","2184","87.9","86.76","286","1372","1620","-1.1","5.79","114","153","118","149","294","320","293"
"2975",502190,"Leake, Mike","2975","100.0","0.286","0.219","0.296","0.506","0.341","0.353","0.293","227","793","90.6","11.8","2116","85.3","83.52","270","1499","1476","-1.8","5.17","111","154","112","148","297","321","296"
"2968",489119,"Miley, Wade","2968","100.0","0.254","0.152","0.289","0.406","0.311","0.298","0.237","164","646","87.4","7.9","2175","85.6","84.78","302","1325","1643","-0.8","5.75","108","152","116","148","290","319","296"
"2962",518876,"Kelly, Merrill","2962","100.0","0.260","0.188","0.294","0.447","0.318","0.344","0.271","184","709","89.6","12.4","2422","88.3","88.13","311","1397","1563","-0.2","6.14","112","153","116","152","302","328","301"
"2960",519144,"Porcello, Rick","2960","100.0","0.278","0.205","0.310","0.483","0.338","0.328","0.259","198","712","88.2","15.7","2368","86.1","85.60","262","1461","1499","-0.5","5.88","111","152","116","149","284","323","294"
"2926",596001,"Junis, Jakob","2926","100.0","0.276","0.193","0.318","0.468","0.340","0.345","0.270","192","696","90.1","12.7","2190","86.7","85.82","300","1325","1601","-0.9","5.64","112","151","119","141","301","326","306"
"2909",543243,"Gray, Sonny","2909","100.0","0.196","0.129","0.259","0.325","0.265","0.278","0.203","122","622","87.6","8.6","2676","88.4","85.26","345","1228","1681","-3.1","6.20","116","155","117","147","293","316","289"
"2899",571666,"Fiers, Mike","2899","100.0","0.243","0.165","0.256","0.408","0.303","0.317","0.244","166","683","87.7","15.5","2373","85.9","84.73","250","1370","1528","-1.2","5.61","111","149","120","151","300","325","300"
"2876",425794,"Wainwright, Adam","2876","100.0","0.273","0.166","0.323","0.440","0.330","0.321","0.258","181","662","88.7","10.2","2418","83.1","83.02","232","1219","1657","-0.1","6.20","112","151","110","149","297","323","299"
"2867",571945,"Mikolas, Miles","2867","100.0","0.272","0.177","0.304","0.449","0.319","0.323","0.271","193","710","88.3","10.1","2327","88.6","88.21","304","1413","1454","-0.4","6.03","113","151","111","149","296","322","299"
"2848",641712,"Hudson, Dakota","2848","100.0","0.245","0.158","0.275","0.403","0.316","0.337","0.263","160","652","89.0","3.3","2202","90.7","90.90","297","1259","1589","0.2","6.27","113","150","110","149","296","321","299"
"2848",506433,"Darvish, Yu","2848","100.0","0.213","0.198","0.268","0.411","0.294","0.298","0.223","140","657","88.5","12.4","2517","88.3","88.16","411","1377","1471","-0.1","6.00","114","151","111","152","294","320","296"
"2838",621111,"Buehler, Walker","2838","100.0","0.223","0.145","0.292","0.368","0.270","0.277","0.227","153","685","89.0","12.9","2586","92.8","92.48","381","1428","1410","-0.3","6.08","112","158","118","146","297","317","298"
"2836",456701,"Bailey, Homer","2836","100.0","0.256","0.147","0.302","0.403","0.307","0.309","0.252","162","632","90.3","13.8","1807","88.5","88.73","332","1375","1461","0.2","6.30","113","150","123","143","303","327","304"
"2826",500779,"Quintana, José","2826","100.0","0.282","0.158","0.329","0.440","0.321","0.317","0.265","191","678","89.5","11.1","1981","86.9","87.03","262","1251","1575","0.1","6.25","110","151","111","150","297","321","295"
"2814",608337,"Giolito, Lucas","2814","100.0","0.205","0.169","0.274","0.373","0.275","0.283","0.214","131","640","88.1","17.6","2095","88.9","89.58","452","1395","1419","0.7","6.60","109","150","113","148","296","323","298"
"2787",547888,"Tanaka, Masahiro","2787","100.0","0.261","0.189","0.293","0.450","0.314","0.311","0.258","186","713","88.8","10.9","2072","86.6","85.60","326","1404","1383","-1.0","5.58","108","154","115","149","293","325","290"
"2787",543606,"Odorizzi, Jake","2787","100.0","0.234","0.137","0.305","0.371","0.289","0.299","0.230","139","593","88.5","17.7","2096","89.0","88.40","380","1372","1415","-0.6","5.83","109","154","114","147","298","326","295"
"2778",605164,"Bundy, Dylan","2778","100.0","0.256","0.205","0.297","0.462","0.329","0.308","0.238","161","628","87.9","13.9","2308","85.9","84.92","383","1361","1417","-1.0","5.65","106","153","115","147","302","326","299"
"2772",527048,"Pérez, Martín","2772","100.0","0.279","0.159","0.318","0.439","0.334","0.305","0.244","184","659","85.7","9.3","2114","89.7","89.27","292","1357","1415","-0.4","5.95","105","152","113","145","299","322","288"
"2770",453286,"Scherzer, Max","2770","100.0","0.222","0.149","0.322","0.371","0.269","0.253","0.203","144","650","87.5","13.4","2337","89.6","88.99","491","1454","1316","-0.6","5.93","114","151","113","148","300","314","296"
"2764",502043,"Gibson, Kyle","2764","100.0","0.275","0.168","0.333","0.443","0.333","0.333","0.269","175","637","88.1","6.8","2156","88.4","89.17","376","1288","1476","0.8","6.62","109","153","113","146","297","324","293"
"2759",663423,"Thornton, Trent","2759","100.0","0.259","0.181","0.302","0.439","0.325","0.326","0.255","156","603","87.9","16.6","2543","87.6","86.74","299","1224","1533","-0.9","5.65","110","154","118","149","303","326","301"
"2721",579328,"Kikuchi, Yusei","2721","100.0","0.295","0.244","0.310","0.539","0.368","0.338","0.271","195","660","88.8","12.1","2172","87.3","87.54","259","1299","1421","0.2","6.29","105","153","113","145","300","317","287"
"2711",641745,"Keller, Brad","2711","100.0","0.247","0.135","0.283","0.381","0.307","0.328","0.257","154","624","89.1","9.1","2294","90.6","90.19","246","1248","1463","-0.4","5.79","111","151","119","140","303","326","304"
"2706",547943,"Ryu, Hyun Jin","2706","100.0","0.234","0.126","0.282","0.359","0.263","0.279","0.247","160","685","86.4","7.1","1969","84.7","85.14","332","1344","1362","0.4","6.38","112","156","114","146","297","317","290"
"2702",571927,"Matz, Steven","2702","100.0","0.260","0.193","0.304","0.454","0.325","0.326","0.255","163","626","88.3","10.3","2189","88.8","88.76","287","1259","1443","0.0","6.28","110","150","110","145","299","317","292"
"2698",543294,"Hendricks, Kyle","2698","100.0","0.249","0.148","0.292","0.397","0.290","0.291","0.245","168","675","86.0","14.0","2101","83.0","82.15","292","1330","1368","-0.9","5.73","113","151","110","152","295","320","295"
"2696",457918,"Happ, J.A.","2696","100.0","0.258","0.211","0.281","0.469","0.329","0.331","0.257","160","621","88.9","13.4","2162","89.3","88.71","306","1297","1399","-0.6","5.93","106","153","115","148","297","326","288"
"2690",434671,"Sánchez, Aníbal","2690","100.0","0.236","0.170","0.266","0.406","0.296","0.310","0.249","153","647","87.0","14.9","2081","86.4","86.31","291","1303","1387","-0.1","6.06","114","151","113","147","302","316","295"
"2681",607644,"Means, John","2681","100.0","0.234","0.183","0.256","0.417","0.295","0.301","0.236","138","590","87.2","20.1","2347","86.5","85.76","285","1287","1394","-0.7","5.79","105","153","116","147","301","324","295"
"2680",605200,"Davies, Zach","2680","100.0","0.256","0.160","0.276","0.416","0.309","0.337","0.274","155","606","88.4","14.0","2118","85.1","84.25","202","1171","1509","-0.8","5.78","109","158","114","151","302","321","295"
"2672",477132,"Kershaw, Clayton","2672","100.0","0.222","0.173","0.267","0.394","0.280","0.278","0.221","145","654","87.9","12.0","2547","86.2","82.64","376","1371","1301","-3.6","5.97","112","155","112","145","297","316","291"
"2670",608331,"Fried, Max","2670","100.0","0.270","0.149","0.338","0.419","0.315","0.297","0.247","174","644","88.7","4.0","2326","87.2","86.94","325","1265","1405","-0.3","5.98","108","151","114","149","306","326","296"
"2668",543101,"DeSclafani, Anthony","2668","100.0","0.238","0.184","0.276","0.422","0.300","0.291","0.228","151","635","88.7","12.0","2168","91.3","91.54","302","1284","1384","0.2","6.24","116","157","115","148","292","315","289"
"2665",572020,"Paxton, James","2665","100.0","0.242","0.181","0.315","0.423","0.310","0.291","0.220","138","570","89.0","17.5","2177","91.2","91.09","408","1331","1334","-0.1","6.24","106","153","116","148","295","322","285"
"2661",605513,"Turnbull, Spencer","2661","100.0","0.267","0.146","0.333","0.413","0.329","0.328","0.252","154","576","89.2","9.5","2365","90.4","90.07","308","1249","1411","-0.3","6.01","110","149","113","149","298","329","295"
"2661",592761,"Smith, Caleb","2661","100.0","0.223","0.230","0.252","0.454","0.315","0.320","0.224","128","573","88.4","23.2","2310","87.7","85.64","366","1323","1338","-2.1","5.04","105","153","115","148","303","324","294"
"2659",474463,"Anderson, Brett","2659","100.0","0.265","0.142","0.280","0.408","0.308","0.346","0.282","181","682","89.2","4.8","1941","86.9","86.02","215","1264","1395","-0.9","5.61","105","148","120","148","300","324","297"
"2657",605397,"Musgrove, Joe","2657","100.0","0.254","0.183","0.300","0.437","0.309","0.307","0.249","168","662","88.6","11.5","2397","88.3","87.51","338","1379","1278","-0.8","5.66","111","150","120","148","304","325","300"
"2643",664192,"Lucchesi, Joey","2643","100.0","0.233","0.173","0.274","0.405","0.298","0.298","0.227","144","619","87.8","10.8","2174","86.2","86.09","303","1198","1445","-0.1","6.05","112","153","114","149","305","328","303"
"2616",608566,"Márquez, Germán","2616","100.0","0.259","0.182","0.308","0.441","0.311","0.327","0.269","174","671","90.9","6.8","2348","91.0","89.45","343","1295","1321","-1.5","5.14","114","153","113","148","306","333","306"
"2571",621107,"Eflin, Zach","2571","100.0","0.268","0.184","0.295","0.452","0.325","0.295","0.234","172","642","87.5","12.4","2165","90.2","90.55","248","1229","1342","0.3","6.41","110","151","116","150","300","324","295"
"2557",647336,"Soroka, Mike","2557","100.0","0.236","0.104","0.282","0.340","0.272","0.303","0.255","153","647","87.9","6.4","2348","88.8","86.88","281","1247","1308","-1.9","5.07","108","151","113","149","305","327","296"
"2511",488768,"Cashner, Andrew","2511","100.0","0.253","0.165","0.280","0.418","0.317","0.343","0.262","144","570","89.5","10.1","2038","88.7","87.23","256","1138","1373","-1.5","5.28","108","153","117","148","295","324","300"
"2510",641778,"Lauer, Eric","2510","100.0","0.268","0.161","0.318","0.430","0.321","0.311","0.245","158","589","89.7","14.2","2242","87.9","87.05","238","1201","1309","-0.9","5.76","112","152","113","149","303","324","301"
"2505",450306,"Vargas, Jason","2505","100.0","0.249","0.175","0.280","0.424","0.318","0.324","0.241","141","566","87.3","16.3","2248","80.2","79.50","262","1091","1414","-0.7","5.85","109","150","113","146","301","321","292"
"2466",519242,"Sale, Chris","2466","100.0","0.221","0.191","0.311","0.412","0.294","0.284","0.213","123","556","88.5","12.9","2351","86.5","85.49","372","1169","1297","-1.0","5.83","107","150","115","149","287","322","286"
"2456",543475,"Lyles, Jordan","2456","100.0","0.243","0.210","0.286","0.454","0.321","0.305","0.227","131","538","89.4","14.7","2239","87.9","85.64","278","1164","1292","-2.3","6.54","109","152","118","150","305","321","298"
"2433",628317,"Maeda, Kenta","2433","100.0","0.202","0.168","0.245","0.371","0.274","0.273","0.214","114","564","85.5","14.8","2195","86.6","85.98","382","1190","1243","-0.6","5.74","112","158","119","145","294","317","295"
"2430",605135,"Bassitt, Chris","2430","100.0","0.229","0.165","0.268","0.394","0.299","0.298","0.228","125","545","87.4","14.8","2183","89.1","88.08","237","1134","1296","-1.0","6.01","111","148","119","151","300","325","300"
"2394",430935,"Hamels, Cole","2394","100.0","0.260","0.146","0.320","0.406","0.317","0.321","0.246","141","542","89.8","11.2","1968","87.3","87.22","308","1133","1261","-0.1","6.15","109","150","109","150","299","322","295"
"2392",502624,"Anderson, Chase","2392","100.0","0.240","0.209","0.270","0.449","0.320","0.310","0.236","126","526","87.2","19.5","2233","88.8","84.36","279","1191","1201","-4.4","5.58","109","156","115","151","302","318","294"
"2373",592351,"Gray, Jon","2373","100.0","0.259","0.178","0.319","0.437","0.323","0.328","0.268","147","567","89.6","8.1","2150","91.2","91.13","296","1129","1244","-0.1","5.98","114","153","114","148","306","332","307"
"2361",596057,"Norris, Daniel","2361","100.0","0.275","0.198","0.312","0.473","0.334","0.338","0.267","154","560","90.7","11.3","2249","87.3","85.94","257","1124","1237","-1.4","5.35","106","150","114","146","300","328","291"
"2327",592866,"Williams, Trevor","2327","100.0","0.284","0.229","0.308","0.513","0.351","0.340","0.271","162","571","87.8","17.1","2114","88.5","89.17","259","1170","1157","0.7","6.49","110","150","119","148","304","323","298"
"2305",592717,"Sanchez, Aaron","2305","100.0","0.278","0.179","0.321","0.457","0.353","0.343","0.261","145","521","89.6","9.0","2300","89.0","88.91","224","1026","1278","-0.1","6.29","110","153","116","150","303","325","301"
"2290",670950,"Richards, Trevor","2290","100.0","0.249","0.173","0.293","0.422","0.316","0.310","0.233","127","510","87.8","17.5","2231","86.5","86.68","295","1123","1166","0.2","6.41","107","157","117","148","299","326","299"
"2280",663978,"Paddack, Chris","2280","100.0","0.204","0.176","0.239","0.380","0.268","0.279","0.217","107","524","87.3","15.4","2072","89.3","89.86","295","1195","1085","0.6","6.60","115","153","114","151","303","324","304"
"2278",501381,"Pineda, Michael","2278","100.0","0.253","0.177","0.294","0.430","0.301","0.304","0.245","141","558","89.4","16.8","1982","89.1","85.31","305","1198","1077","-3.8","6.20","108","153","113","147","297","325","292"
"2275",642098,"Sparkman, Glenn","2275","100.0","0.296","0.231","0.300","0.527","0.364","0.352","0.278","164","554","90.7","14.1","2276","88.9","89.14","185","1090","1185","0.2","6.37","112","149","117","143","302","326","303"
"2247",593334,"Germán, Domingo","2247","100.0","0.228","0.214","0.260","0.442","0.305","0.316","0.243","125","548","89.4","15.2","2489","88.0","87.27","314","1112","1135","-0.7","5.78","109","154","115","150","293","325","292"
"2237",622608,"Senzatela, Antonio","2237","100.0","0.313","0.193","0.336","0.506","0.373","0.362","0.296","161","514","89.6","4.7","2116","89.8","89.88","179","1010","1227","0.1","6.06","112","152","115","148","308","335","308"
"2211",641816,"Mahle, Tyler","2211","100.0","0.266","0.191","0.308","0.457","0.326","0.304","0.241","136","512","88.8","9.1","2214","89.3","86.52","237","1022","1189","-2.8","6.34","115","156","117","147","294","317","291"
"2199",608379,"Wacha, Michael","2199","100.0","0.290","0.213","0.318","0.503","0.360","0.356","0.277","143","493","88.2","9.6","1944","88.9","89.58","222","1053","1146","0.7","6.56","111","151","111","149","297","322","296"
"2192",453562,"Arrieta, Jake","2192","100.0","0.283","0.165","0.320","0.448","0.339","0.337","0.266","149","527","89.1","6.5","2209","89.6","88.79","174","965","1227","-0.8","5.85","109","150","115","150","299","323","295"
"2161",518633,"Duffy, Danny","2161","100.0","0.251","0.187","0.285","0.438","0.323","0.341","0.260","125","498","88.9","15.8","2269","87.7","88.21","248","1028","1133","0.5","6.48","110","151","119","143","304","327","305"
"2130",592767,"Smyly, Drew","2130","100.0","0.278","0.280","0.310","0.558","0.379","0.362","0.261","126","453","89.0","17.8","1997","85.9","84.56","245","947","1183","-1.3","5.38","106","151","114","147","297","322","295"
"2120",592826,"Velasquez, Vince","2120","100.0","0.262","0.236","0.308","0.498","0.347","0.332","0.246","120","458","90.4","17.7","2400","91.2","91.34","270","1050","1070","0.1","6.34","111","151","118","150","300","325","296"
"2098",502042,"Archer, Chris","2098","100.0","0.249","0.212","0.304","0.461","0.334","0.344","0.257","114","458","88.9","14.1","2309","91.1","90.43","284","964","1134","-0.7","5.70","109","149","121","148","306","325","300"
"2090",605182,"Clevinger, Mike","2090","100.0","0.209","0.122","0.306","0.331","0.261","0.268","0.208","96","459","86.3","13.0","2291","88.6","89.08","337","956","1134","0.5","6.42","110","153","116","151","288","313","293"
"2060",605347,"López, Jorge","2060","100.0","0.286","0.227","0.314","0.513","0.360","0.360","0.269","140","489","90.3","9.9","2080","89.3","89.06","197","922","1138","-0.2","6.07","111","151","121","139","301","327","302"
"2057",642232,"Yarbrough, Ryan","2057","100.0","0.228","0.155","0.264","0.383","0.273","0.288","0.247","121","530","84.7","15.2","2148","82.4","81.90","227","1020","1037","-0.5","6.00","107","153","114","146","292","322","293"
"2056",592716,"Sampson, Adrian","2056","100.0","0.302","0.266","0.327","0.568","0.382","0.370","0.291","156","516","90.9","15.4","2186","89.0","88.44","217","1017","1039","-0.6","5.99","107","153","112","148","294","322","302"
"2047",642558,"Jurado, Ariel","2047","100.0","0.304","0.222","0.322","0.526","0.362","0.367","0.293","148","487","89.4","9.4","1948","89.4","88.86","170","945","1102","-0.5","5.97","108","152","113","147","293","323","299"
"2028",595881,"Beede, Tyler","2028","100.0","0.271","0.190","0.313","0.462","0.339","0.343","0.263","127","468","90.9","11.7","2168","89.5","89.10","244","936","1092","-0.4","6.02","110","154","115","149","299","329","300"
"2001",643230,"Brault, Steven","2001","100.0","0.265","0.172","0.313","0.438","0.338","0.334","0.254","117","441","89.7","9.8","1992","88.7","89.94","211","907","1094","1.2","6.82","109","151","120","147","308","324","295"
"1985",630023,"Chirinos, Yonny","1985","100.0","0.225","0.189","0.246","0.414","0.286","0.318","0.255","112","498","87.6","11.4","2072","90.7","90.41","221","985","1000","-0.3","6.11","108","160","117","148","292","325","298"
"1979",605540,"Woodruff, Brandon","1979","100.0","0.240","0.117","0.322","0.357","0.281","0.283","0.232","109","454","85.8","12.5","2181","93.1","93.10","258","1015","964","0.0","6.26","110","156","114","152","300","319","291"
"1956",519141,"Pomeranz, Drew","1956","100.0","0.261","0.206","0.340","0.467","0.340","0.311","0.226","105","403","89.5","14.6","2368","88.6","85.81","239","895","1061","-2.8","4.96","108","151","113","147","300","323","295"
"1955",453281,"LeBlanc, Wade","1955","100.0","0.291","0.243","0.309","0.534","0.359","0.343","0.279","145","498","89.3","13.8","1861","81.7","81.26","204","921","1034","-0.4","5.94","106","153","115","146","300","317","286"
"1945",468504,"Chacín, Jhoulys","1945","100.0","0.280","0.241","0.311","0.521","0.365","0.356","0.274","115","411","88.9","16.8","2165","84.4","83.20","171","833","1112","-1.2","5.42","111","157","116","152","298","319","295"
"1899",605156,"Brooks, Aaron","1899","100.0","0.271","0.222","0.290","0.493","0.348","0.348","0.266","118","436","89.4","11.8","2063","88.6","87.83","170","874","1025","-0.8","5.83","108","152","117","149","297","324","298"
"1892",668676,"Plesac, Zach","1892","100.0","0.237","0.200","0.257","0.437","0.315","0.347","0.273","102","430","89.4","14.5","1974","89.1","88.44","194","900","992","-0.7","5.80","110","152","115","150","290","313","291"
"1891",605483,"Snell, Blake","1891","100.0","0.241","0.150","0.343","0.391","0.301","0.265","0.204","96","399","88.0","14.5","2273","89.5","89.69","354","925","966","0.2","6.41","106","152","111","145","293","319","290"
"1888",592314,"Foltynewicz, Mike","1888","100.0","0.244","0.215","0.270","0.460","0.319","0.326","0.254","109","446","88.8","15.1","2259","89.9","89.65","216","922","966","-0.2","6.02","110","151","112","150","305","327","298"
"1866",519455,"Zimmermann, Jordan","1866","100.0","0.311","0.215","0.341","0.526","0.363","0.362","0.296","145","466","89.8","12.7","2278","86.9","86.62","177","874","992","-0.3","5.92","110","149","112","148","296","331","293"
"1864",572971,"Keuchel, Dallas","1864","100.0","0.265","0.161","0.303","0.426","0.327","0.328","0.260","115","434","88.8","3.0","1999","85.5","85.24","176","852","1012","-0.3","5.89","107","151","114","149","308","328","297"
"1862",456034,"Price, David","1862","100.0","0.258","0.182","0.336","0.441","0.319","0.311","0.243","109","422","88.2","12.6","2093","89.0","88.16","230","894","968","-0.8","5.84","107","149","115","149","288","323","287"
"1821",656222,"Beeks, Jalen","1821","100.0","0.281","0.154","0.329","0.435","0.337","0.342","0.273","115","409","88.1","9.9","2071","87.0","86.60","201","835","986","-0.4","6.10","106","155","112","146","291","322","296"
"1815",593679,"Ynoa, Gabriel","1815","100.0","0.280","0.256","0.273","0.536","0.354","0.363","0.287","126","450","89.9","11.0","2105","89.5","88.45","182","907","908","-1.1","5.58","108","153","116","148","300","326","299"
"1810",605288,"Houser, Adrian","1810","100.0","0.244","0.155","0.304","0.399","0.302","0.280","0.220","101","414","86.6","5.0","2108","91.1","91.57","194","809","1001","0.5","6.39","109","157","114","151","302","320","296"
"1796",641154,"López, Pablo","1796","100.0","0.261","0.174","0.303","0.435","0.318","0.318","0.254","111","425","87.7","9.6","2089","89.2","89.77","205","876","920","0.6","6.73","107","156","117","148","298","323","298"
"1794",592644,"Plutko, Adam","1794","100.0","0.267","0.221","0.280","0.488","0.333","0.327","0.266","115","430","88.1","19.9","2307","87.6","87.06","167","887","907","-0.5","5.83","111","152","117","150","291","315","289"
"1789",621381,"Strahm, Matt","1789","100.0","0.267","0.210","0.315","0.477","0.326","0.322","0.255","121","453","88.9","15.6","2356","86.8","85.91","210","908","881","-0.9","5.67","113","152","115","149","306","327","302"
"1788",502239,"Cahill, Trevor","1788","100.0","0.273","0.264","0.283","0.537","0.364","0.330","0.255","111","406","88.5","9.0","2212","86.0","85.59","191","809","979","-0.4","5.97","114","152","115","147","294","318","291"
"1781",615698,"Quantrill, Cal","1781","100.0","0.260","0.170","0.297","0.430","0.311","0.321","0.263","106","407","87.3","11.6","2035","90.4","90.25","193","869","912","-0.1","6.15","116","151","115","150","300","327","306"
"1780",607536,"Freeland, Kyle","1780","100.0","0.296","0.258","0.310","0.554","0.372","0.359","0.285","126","426","89.2","9.7","2173","89.0","89.60","182","862","918","0.6","6.42","108","153","115","144","309","330","305"
"1750",543548,"Milone, Tommy","1750","100.0","0.241","0.243","0.252","0.485","0.313","0.308","0.236","102","423","87.2","16.5","2056","82.4","77.97","187","824","926","-4.4","5.86","108","155","115","146","297","317","286"
"1729",282332,"Sabathia, CC","1729","100.0","0.265","0.246","0.294","0.512","0.351","0.316","0.243","112","422","86.4","14.5","2137","85.0","85.98","206","821","908","1.0","6.69","103","153","114","148","299","326","288"
